Date,PL,Yield_Medio,Prazo_Medio,Ticket_Medio,Ticket Maximo,Maior_exposicao_cedente,Maior_exposicao_sacado,Operacoes 30 Dias,Cedentes Ativos,Sacados Ativos,PDD 30 Dias,Faturamento 30 Dias,PDD/Faturamento 30,psac1,psac2,psac3,psac4,psed1,psed2,psed3,Trades,Yield_PDD,Yield_PDD_T,Atraso,Atraso_PDD,Dias_Atraso,ced_sac
20190902,14035526.382944558,0.3497071877866331,49.52877686801229,4890.427311130507,830461.03,5513570.607803608,2413558.097803612,0,9,492,6035301.57,1,1,0.4973049469257038,0.373310207757293,0.08854523985008338,0.04083960546691983,0.35284616142516473,0.4688145008324576,0.1783393377423776,0,13.682190202450832,198.954395127803,1795369.2200000002,779927.48,-163.8818038665049,1836713.7
20190903,15333864.45,-0.040201489,63.93313876,5449.1344880000015,830461.03,6414583.73,3191698.21,0,9,484,6182195.29,1,1,0.527957178,0.349392197,0.0838312,0.038819425,0.379977203,0.454242953,0.165779844,0,4.204204592,15.74949157,1980116.48,834282.29,-156.957457,
20190904,15216418.37,0.040066266,-64.61714328,5503.22545,830461.03,6414455.51,3191627.97,0,9,480,6179900.88,1,1,0.530870395,0.346013781,0.08452534099999999,0.038590483,0.381292271,0.452788927,0.165918802,0,-0.806744968,15.77085372,2091275.0,846494.89,-149.9966139,
20190905,15018111.44,0.038194335,-65.79204347,5537.651711,830461.03,6414327.77,3191557.74,3,9,475,6183075.97,1,1,0.5376261760000001,0.341158674,0.082931113,0.038284037,0.382681537,0.452507648,0.164810815,0,-0.8018273909999999,15.8453314,2284169.72,911219.62,-139.44083659999998,
20190906,14839396.09,0.036414984,-66.86388892,5522.663227,830461.03,6414201.31,3191487.45,3,9,471,6211953.4,1,1,0.539527714,0.339053644,0.083145632,0.03827301,0.38218569,0.452124144,0.165690166,0,-0.800075378,16.17685862,2456798.57,961957.84,-131.329297,
20190909,14034994.16,0.034186979,-72.0046881,5452.600684,830461.03,6414076.48,3191417.21,3,9,462,6210121.19,1,1,0.554996467,0.32281427,0.083284045,0.038905219,0.375066406,0.454570949,0.170362645,0,-0.784070225,16.20180966,3255197.81,1145944.07,-104.7594744,
20190910,13722958.44,0.032486064,-74.12035438,5478.226922,830461.03,6356029.99,3191347.0,3,9,451,6141072.07,1,1,0.567424833,0.310650982,0.083065449,0.038858735,0.373084458,0.457808676,0.16910686600000002,0,-0.777326576,15.2894605,3232244.62,1157778.18,-105.2523091,
20190911,13435674.9,-0.023515289,76.56210623,5486.188199,830461.03,6482669.14,3191276.75,8,9,443,5977283.18,1,1,0.5869521839999999,0.29805953,0.07749262,0.037495666,0.387663305,0.447847663,0.164489033,5,3.173004832,12.79710357,3172285.14,1183646.81,-102.9322884,
20190912,14520135.11,0.01408396,-71.99747531,5676.362435,830461.03,6575332.55,3191206.53,142,10,462,6106869.12,1,1,0.564935625,0.323336097,0.075079619,0.036648658,0.360110896,0.475448738,0.164440366,32,-0.753595155,13.24504325,3338952.24,1279035.33,-102.4099819,
20190913,13431009.75,0.011285779,-79.73091935,5598.586807,830461.03,6872235.89,3191136.29,196,10,463,6064372.47,1,1,0.5758110479999999,0.307011496,0.078233661,0.038943795,0.394192962,0.465413229,0.140393809,14,-0.632692004,12.74121055,4539539.41,2382034.71,-80.18219244,
20190916,13683296.76,-0.004257282,79.29773646,5682.432209000001,830461.03,7350400.05,3191066.04,333,10,462,5179775.93,1,1,0.553829027,0.333644653,0.074859837,0.037666483,0.398991045,0.445743719,0.155265236,31,1.606835489,7.254608798,4236662.68,1604537.63,-84.35294137,
20190917,13425739.15,-0.003993566,81.20363801,5645.811249,830461.03,6690721.68,3190995.82,370,10,463,5049273.96,1,1,0.559143511,0.329942424,0.07341225700000001,0.037501809,0.401112248,0.444139507,0.154748245,21,1.5189475890000002,6.464232287000001,3317869.69,1579667.86,-102.1761105,
20190918,13318388.89,-0.003719932,82.08300776,5633.836248,830461.03,6692722.46,3190925.6,409,10,464,5048756.66,1,1,0.563179177,0.325362067,0.073043838,0.038414917,0.404495561,0.44517629,0.150328148,17,1.473363939,6.443669223,3457727.69,1634587.41,-98.68188683,
20190919,13347341.14,-0.002381022,82.23460434,5545.2185869999985,830461.03,6798604.62,3190855.36,465,10,460,5055704.58,1,1,0.567721178,0.320565975,0.07421667400000001,0.037496173,0.406394883,0.4375607070000001,0.156044411,7,1.412641768,6.414446012999999,3658392.59,1713865.1,-94.09188807,
20190920,13165404.86,-0.002169691,83.68379586,5503.931798,830461.03,6776402.11,3190785.14,531,10,460,5018166.84,1,1,0.575352214,0.318113841,0.069934855,0.03659909,0.407932129,0.438732749,0.153335122,27,1.3531491430000002,6.159940659,3635000.79,1754334.05,-93.49348865,
20190923,13857188.75,0.006286678,78.49335842,5509.8166,830461.03,6920094.25,3190714.91,797,10,451,5058406.49,1,1,0.577566702,0.320876103,0.066359255,0.035197939,0.386808744,0.463737173,0.149454084,28,1.334300533,6.845896912000001,4054286.74,1863467.38,-88.11509396,
20190924,14479687.27,0.011379727,75.92234975,5111.079163,830461.03,6862218.57,3190644.68,916,11,457,4990713.42,1,1,0.5633402670000001,0.32415758,0.07640342,0.036098733,0.362504428,0.436873092,0.20062248,22,1.292617217,6.279933222,3837324.14,1826672.16,-92.1020343,
20190925,13311625.95,0.373144166,59.28930153,4722.109242,830461.03,5835713.4810000025,2428601.481,948,11,456,4950920.26,1,1,0.53566151,0.34191782600000004,0.08288823299999999,0.039532431,0.326211894,0.456417325,0.21737078,28,3.259181326,56.13547415,3706523.57,1838528.44,-97.78071117,
20190926,13296945.9,0.371474907,59.87517394,4752.303754,830461.03,5720757.051,2428601.481,989,11,455,4972921.72,1,1,0.533948187,0.34596868299999994,0.080916502,0.039166628,0.319315114,0.457532543,0.223152344,23,3.1572252730000003,53.60764916,3703628.32,1892897.47,-97.78929173,
20190927,12346290.83,0.379733952,62.07830096,4605.106612,830461.03,5711880.128,2438682.458,1024,11,451,4964087.59,1,1,0.558916581,0.312056812,0.08688606800000001,0.04214054,0.339063145,0.450764127,0.210172728,19,2.266331602,104.7932952,4693873.89,2602591.93,-84.30807367,
20190930,13699490.34683124,0.4080537130459629,55.20424978273704,4956.400270199436,830461.03,6839810.077313358,2443738.627313362,1232,11,456,4276248.41,1,1,0.5617804430667296,0.3252339515703653,0.07459037264377942,0.038395232719125566,0.3559686071417496,0.4287708470028267,0.2152605458554237,47,2.242181552436685,64.21143705067283,4486775.69,1988587.92,-89.08209425330108,3534104.97
20191001,13489781.08683124,0.4013540863881289,56.486192390958784,4862.934782563532,830461.03,6260605.187313357,2443738.627313362,22,11,459,4168722.73,1,1,0.5688070960856234,0.3164142622126599,0.07579913220372254,0.038979509497994135,0.3477194394127265,0.4364995600459401,0.2157810005413333,22,2.189500906391644,46.85235774477907,3849763.02,1897669.27,-99.83207726640795,3522158.06
20191002,13501504.445723096,0.4104693567015685,54.66481271029317,4840.984024999317,830461.03,6206462.6300083,2448805.2800082983,59,11,460,4071237.53,1,1,0.5675637827272286,0.31632179933495325,0.07738688263965847,0.038727535298159615,0.3480426028742927,0.4372224072840086,0.21473498984169875,27,2.294762948144598,55.30982443720065,3675568.14,1801660.44,-104.49770195526834,3510247.5900000012
20191003,14602339.69,0.021581662,79.58531944,5043.986076,830461.03,7025094.47,3190153.17,121,12,467,4069602.22,1,1,0.591490317,0.29842577600000003,0.072498514,0.037585393,0.37468541,0.421101373,0.204213217,50,0.7388938820000001,3.252554947,3725682.77,1811641.34,-92.28782026,
20191004,14474311.03,0.020346416000000003,80.50752819,4999.762014,830461.03,6936594.22,3190082.94,158,12,472,3992424.74,1,1,0.5861482610000001,0.302971898,0.072244322,0.038635518,0.373160758,0.42274585,0.204093392,32,0.7081613720000001,3.098394863,3667779.26,1795489.17,-93.54403387,
20191007,14842951.85,0.023235422,79.77918438,5150.22618,830461.03,7003694.88,3190012.71,204,12,463,4055346.55,1,1,0.587883313,0.303766764,0.069870034,0.038479889,0.368413614,0.443253138,0.188333248,15,0.691739804,3.06898212,3699112.97,1871167.78,-92.72756366,
20191008,14011027.062541172,0.4771990151224479,45.56037648166802,4751.111245351364,830461.03,6318413.18165869,2474296.5516586923,350,12,469,4036772.12,1,1,0.5600051093697697,0.3236234117427804,0.07449002598748157,0.041881452899968336,0.34137853137450064,0.4551422941671121,0.20347917445838748,31,2.7437319061660967,635.3320221290924,3699150.94,1868507.25,-113.7163752474507,3726858.8600000013
20191231,14050715.319999995,0.14637590239209852,49.06583335929406,7125.109188640973,830461.03,5750696.900000001,3116254.71,589,10,295,751533.33,1,1,0.5778301826700165,0.3118064226782726,0.07881263514205195,0.031550759509658896,0.3718478220509561,0.4653268585332066,0.1628253194158374,0,0.3435936024010671,0.6720728489831174,2630924.1100000003,323896.33,-48.97896316743244,4369862.06
20200116,15010511.89,0.1302025920682346,51.184990815792894,8470.943504514673,830461.03,5944606.4700000025,4804247.420000001,334,11,302,1086967.79,1,1,0.6965606840473981,0.20507148140968565,0.0675801729770321,0.030787661565884143,0.3691098918279461,0.4720411023904129,0.15884900578164107,1,0.4085702986868249,0.7401229285658597,2077829.09,430464.1,-42.06283678991133,6012409.74
20200131,14998216.98,0.11083896007272263,58.135768470526564,9595.78821497121,830461.03,5551580.389999999,5698502.839999997,594,10,274,1110272.09,1,1,0.6901529944394763,0.2207408310211019,0.06316811266721646,0.0259380618722053,0.3690908450905742,0.4772523360306794,0.15365681887874638,12,0.34723561996039504,0.5946381912720329,1610398.84,457331.6,-33.99224926788945,6278796.79
20200205,14869956.49,0.11015744092350577,60.283037632479314,9939.810487967914,748365.22,6051555.710000001,5894507.08,6,10,257,1103820.75,1,1,0.6590495027063795,0.2518097105743449,0.06450583837585916,0.02463494834341644,0.3849775830783215,0.4548112312600318,0.16021118566164672,3,0.30346147401677515,0.5729365306906169,1632934.2699999998,543642.8999999999,-32.892939456773114,7072624.27
